penA	mtrR	porB	ponA	gyrA	parC	23S	ST
22.001	10	13	100	100	2	100	1
15.001	14	14	100	100	7	100	2
2.001	1	13	1	5	1	100	3
10.001	19	8	1	2	5	100	4
7.001	25	8	1	2	11	100	5
2.001	19	8	1	1	1	100	6
2.001	26	13	1	1	12	100	7
12.001	1	8	1	100	7	100	8
2.001	32	2	100	100	100	100	9
5.003	1	12	1	1	3	100	10
1.002	5	100	100	100	100	100	11
22.001	10	5	1	100	1	100	12
15.001	5	14	100	100	2	100	13
12.001	22	8	1	100	1	100	14
10.001	19	8	1	5	2	100	15
42.001	1	11	1	1	3	100	16
100.001	18	14	100	100	1	100	17
100.001	18	14	100	3	1	100	18
1.001	4	100	100	100	1	100	19
1.001	5	100	100	100	1	100	20
1.001	7	1	100	100	2	100	21
10.001	1	8	1	1	3	100	22
10.001	19	11	1	5	2	100	23
27.001	25	8	1	9	1	100	24
10.001	33	12	1	2	5	100	25
12.001	1	8	1	1	3	100	26
12.001	1	8	1	1	3	2	27
12.001	1	8	1	2	4	100	28
12.001	1	8	3	1	3	100	29
12.001	1	8	3	1	3	1	30
12.001	1	8	4	1	14	100	31
12.001	1	8	4	1	3	100	32
12.001	34	8	1	1	3	100	33
12.001	35	8	3	100	7	100	34
12.002	1	8	1	1	3	2	35
12.003	1	8	1	1	3	1	36
13.001	1	8	1	1	3	100	37
13.001	19	8	1	1	9	100	38
13.001	19	8	1	1	9	2	39
3.001	22	8	1	2	3	2	40
13.001	36	8	1	3	7	100	41
14.001	10	3	100	100	1	100	42
14.001	10	3	100	100	1	6	43
14.002	28	1	100	100	7	100	44
15.001	18	1	100	100	2	100	45
15.001	9	1	100	100	7	100	46
15.002	25	1	1	100	2	100	47
15.002	25	1	1	100	2	2	48
15.002	25	1	1	8	2	100	49
17.001	37	8	1	1	10	100	50
18.001	19	8	1	7	3	100	51
19.001	25	6	100	100	2	100	52
19.001	38	1	1	7	15	100	53
2.001	23	1	100	100	100	100	54
2.001	24	1	100	100	2	100	55
2.001	24	13	100	100	2	100	56
2.001	25	3	100	100	100	2	57
2.001	27	1	100	100	100	100	58
2.001	30	11	100	100	100	100	59
2.001	31	1	100	100	100	100	60
2.001	5	3	100	100	100	2	61
2.001	9	100	100	100	100	2	62
2.001	9	1	100	100	100	100	63
2.001	9	1	100	100	100	2	64
2.001	9	1	100	1	100	100	65
2.001	9	1	2	100	100	100	66
2.001	9	11	100	100	100	100	67
2.001	9	11	100	100	100	2	68
2.002	1	12	1	7	6	1	69
2.002	1	13	1	2	13	100	70
2.002	19	1	1	7	3	100	71
2.002	19	11	1	7	3	100	72
2.002	19	8	1	7	3	100	73
2.002	25	3	100	100	100	2	74
